judul,foto,penulis,porsi,bahan,langkah,durasi,url,tag
Egg & Chocolate Toast (menu simpel anak kost),https://img-global.cpcdn.com/recipes/6dc1d39212756542/1280x1280sq70/egg-chocolate-toast-menu-simpel-anak-kost-foto-resep-utama.jpg,Tituk SK,1 Orang,"[{'grup': 'Bahan Utama', 'jumlah': '2 Lembar', 'bahan': 'Roti Tawar'}, {'grup': 'Bahan Utama', 'jumlah': '12 Butir', 'bahan': 'Telur'}, {'grup': 'Bahan Utama', 'jumlah': '1 Keping', 'bahan': 'Cokelat'}, {'grup': 'Bahan Utama', 'jumlah': '1 sdt', 'bahan': 'Margarin'}, {'grup': 'Bahan Utama', 'jumlah': 'Sejumput', 'bahan': 'Merica Bubuk'}, {'grup': 'Bahan Utama', 'jumlah': 'Sejumput', 'bahan': 'Parsley Bubuk'}, {'grup': 'Bahan Utama', 'jumlah': 'Secukupnya', 'bahan': 'Meises'}]","['Olesi satu sisi roti dengan margarin', 'Taruh cokelat di tengah roti tutup dengan roti satunya potong roti menggunakan cookie cutter atau gelas (aku pakai tutup toples)', 'Olesi wajan dengan margarin panaskan wajan panggang roti isi cokelat dengan api kecil balik agar matang merata angkat hidangkan dengan taburan meises', 'Taruh roti yang berlubang ke atas wajan boleh 2 lembar sekaligus atau 1 lembar saja pecahkan telur di tengahnya masak menggunakan api kecil', 'Beri merica bubuk dan parsley boleh ditambah cabai bubuk bila suka pedas masak dengan tingkat kematangan sesuai selera', 'Hidangkan']",15 Menit,https://cookpad.com/id/resep/24661530-egg-chocolate-toast-menu-simpel-anak-kost,"['roti', 'wajan', 'olesi']"
Seblak Sehat ala anak kost,https://img-global.cpcdn.com/recipes/01cf8f5e9c765165/1280x1280sq70/seblak-sehat-ala-anak-kost-foto-resep-utama.jpg,masakmasakdikost_,2 Orang,"[{'grup': 'Bumbu Halus', 'jumlah': '2 Siung', 'bahan': 'Bawang Merah'}, {'grup': 'Bumbu Halus', 'jumlah': '4 Siung', 'bahan': 'Bawang Putih'}, {'grup': 'Bumbu Halus', 'jumlah': '2 Ruas', 'bahan': 'Kencur'}, {'grup': 'Bumbu Halus', 'jumlah': '7 Buah', 'bahan': 'Cabai Rawit'}, {'grup': 'Bumbu Halus', 'jumlah': '4 Buah', 'bahan': 'Cabai Merah Keriting'}, {'grup': 'Bumbu Halus', 'jumlah': '3 Lembar', 'bahan': 'Daun Jeruk'}, {'grup': 'Topping Sayuran', 'jumlah': '3 sdm', 'bahan': 'Minyak'}, {'grup': 'Topping Sayuran', 'jumlah': '2 Buah', 'bahan': 'Pakcoy Kecil'}, {'grup': 'Topping Sayuran', 'jumlah': '50 gr', 'bahan': 'Jamur Kuping'}, {'grup': 'Topping Sayuran', 'jumlah': '10 gr', 'bahan': 'Jamur Enoki'}, {'grup': 'Topping Sayuran', 'jumlah': '20 gr', 'bahan': 'Kerupuk Kering'}, {'grup': 'Topping Sayuran', 'jumlah': '', 'bahan': 'Bakso Seafood'}, {'grup': 'Seasoning', 'jumlah': '1 sdt', 'bahan': 'Garam'}, {'grup': 'Seasoning', 'jumlah': '2 sdt', 'bahan': 'Kaldu Bubuk'}, {'grup': 'Seasoning', 'jumlah': '1 sdt', 'bahan': 'Gula'}, {'grup': 'Seasoning', 'jumlah': '12 sdt', 'bahan': 'Merica'}, {'grup': 'Seasoning', 'jumlah': '400 mL', 'bahan': 'Air Panas'}, {'grup': 'Seasoning', 'jumlah': 'Secukupnya', 'bahan': 'Perasan Jeruk Nipis'}]","['Siapkan bumbu halus, blenderuleg dengan sedikit air iya', 'Jika tidak ada blenderuleg bisa di cincang sedikit halus', 'Sembari menunggu didihkan air', 'Panaskan minyak lalu masukkan bumbu halus', 'Tumis bumbu halus hingga tercium harum dan surut', 'Masukkan topping yang telah di siapkan', 'Masukkan air panas', 'Aduk sesaat, tutup lalu biarkan mendidih', 'Setelah dirasa topping cukup lunak, bisa di tambah seasoning', 'Koreksi rasa hingga tes kematangan kerupuk yang telah di rendam', 'Enjoy']",30 Menit,https://cookpad.com/id/resep/24710710-seblak-sehat-ala-anak-kost,"['blenderuleg', 'topping', 'seblak']"
Resep tumis kangkung balacan simpel dan mudah untuk pemula dan anak kos,https://img-global.cpcdn.com/recipes/1365c59ba2ea3424/1280x1280sq70/resep-tumis-kangkung-balacan-simpel-dan-mudah-untuk-pemula-dan-anak-kos-foto-resep-utama.jpg,Najwa Trizkiana,1 Orang,"[{'grup': 'Bahan Utama', 'jumlah': 'Seikat', 'bahan': 'Kangkung'}, {'grup': 'Bahan Utama', 'jumlah': '7 Siung', 'bahan': 'Bawang Putih'}, {'grup': 'Bahan Utama', 'jumlah': '5 Siung', 'bahan': 'Bawang Merah'}, {'grup': 'Bahan Utama', 'jumlah': '1 Bungkus', 'bahan': 'Saos Tiram'}, {'grup': 'Bahan Utama', 'jumlah': '2 sdt', 'bahan': 'Micin'}, {'grup': 'Bahan Utama', 'jumlah': '12', 'bahan': 'Terasi'}, {'grup': 'Bahan Utama', 'jumlah': '45 Buah', 'bahan': 'Cabai Merah Besar'}]","['Potong potong batang kangkung, lalu cuci bersih, iris tipis bawang merah, bawang putih, cabai merah', 'Tumis bawang putih, bawang merah, cabai merah, dan setengah terasi hingga harum, tambahkan air setengah gelas biasa, aduk, lalu masukan kangkung yang sudah dibersihkan tumis hingga sedikit layu, beri sebungkus saos tiram, dan 2 sdt micin, aduk hingga benar benar meresap matang']",Tidak ada,https://cookpad.com/id/resep/24585305-resep-tumis-kangkung-balacan-simpel-dan-mudah-untuk-pemula-dan-anak-kos,"['bawang', 'kangkung', 'cabai']"
"Anak kos wajib coba, tempe penyet sambal terasi",https://img-global.cpcdn.com/recipes/3c6a52a7c76e076c/1280x1280sq70/anak-kos-wajib-coba-tempe-penyet-sambal-terasi-foto-resep-utama.jpg,Masakan Bunbun (⁠ ⁠◜⁠‿⁠◝⁠ ⁠)⁠ ♡,2 Orang,"[{'grup': 'Bahan Utama', 'jumlah': '4 Potong', 'bahan': 'Tempe'}, {'grup': 'Bahan Utama', 'jumlah': '1 Buah', 'bahan': 'Tomat'}, {'grup': 'Bahan Utama', 'jumlah': '4', 'bahan': 'Cabai Rawit'}, {'grup': 'Bahan Utama', 'jumlah': 'Secukupnya', 'bahan': 'Terasi'}, {'grup': 'Bahan Utama', 'jumlah': '12 Sendok Teh', 'bahan': 'Garam'}, {'grup': 'Bahan Utama', 'jumlah': '12 Sendok Teh', 'bahan': 'Kaldu Bubuk'}]","['Sediakan 4 potong tempe, panaskan wajan berisi minyak secukupnya untuk memasak tempe, setelah tempe berwana kuning keemasan artinya sudah matang dan tiriskan', 'Lanjut masak terasi (jangan terlalu lama nanti gosong), setelah matang tiriskan lanjut masak ranti atau tomat, setelah matang tiriskan dan terakhir baru masak cabai (jangan terlalu lama) setelah matang tiriskan', 'Sediakan cobek dan masukkan cabai, ranti, dan terasi yang tadi sudah digoreng jangan lupa tambahkan garam dan kaldu bubuk ulek hingga halus', 'Setelah halus masukkan tempe yang sudah digoreng tadi dan ulek (ulek halus aja, jangan terlalu ditekan)', 'Tempe penyet sambal terasi siap disajikan selamat mencoba dan semoga bermanfaat']",30 Menit,https://cookpad.com/id/resep/24785124-anak-kos-wajib-coba-tempe-penyet-sambal-terasi,"['tempe', 'terasi', 'penyet']"
Resep kroket fishcake keju cheddar mudah dan praktik bagi pemula dan anak kos! Bisa pake frozenfood,https://img-global.cpcdn.com/recipes/6123b0907216651b/1280x1280sq70/resep-kroket-fishcake-keju-cheddar-mudah-dan-praktik-bagi-pemula-dan-anak-kos-bisa-pake-frozenfood-foto-resep-utama.jpg,Najwa Trizkiana,1 Orang,"[{'grup': 'Bahan Utama', 'jumlah': '5 Buah', 'bahan': 'Kentang Besar'}, {'grup': 'Bahan Utama', 'jumlah': '8 Siung', 'bahan': 'Bawang Merah'}, {'grup': 'Bahan Utama', 'jumlah': '5 Siung', 'bahan': 'Bawang Putih'}, {'grup': 'Bahan Utama', 'jumlah': '23 sdm', 'bahan': 'Ketumbar Bubuk'}, {'grup': 'Bahan Utama', 'jumlah': '23 sdm', 'bahan': 'Lada Bubuk'}, {'grup': 'Bahan Utama', 'jumlah': '1 Bungkus', 'bahan': 'Penyedap Rasa Instan'}, {'grup': 'Bahan Utama', 'jumlah': '2 sdt', 'bahan': 'Micin'}, {'grup': 'Bahan Utama', 'jumlah': '1 sdt', 'bahan': 'Garam (opsional)'}, {'grup': 'Bahan Utama', 'jumlah': '1 Bungkus', 'bahan': 'Tepung Serbaguna'}, {'grup': 'Bahan Utama', 'jumlah': '1020 sdm', 'bahan': 'Tepung Roti'}, {'grup': 'Bahan Isian', 'jumlah': '10 Buah', 'bahan': 'Odeng Frozenfood'}, {'grup': 'Bahan Isian', 'jumlah': '1 Mangkuk', 'bahan': 'Keju Parut'}, {'grup': 'Bahan Isian', 'jumlah': '1 sdt', 'bahan': 'Garam'}]","['Potong sedang kentang yang sudah di kupas lalu bersihkan goreng kentang setengah matang', 'Coper atau ulek 8 siung bawang merah dan 5 siung baput boleh iris tipis atau cincang tumis bumbu yang sudah dihaluskan tumbuk kentang hingga halus lalu masukan bumbu halus tadi dan 3 sdm ketumbar bubuk, 3 sdm lada bubuk, 1 bungkus penyedap rasa instan, 2 sdt micin, dan 1 sdt garam (opsional jika suka asin) aduk bumbu pada kentang hingga rata, jangan lupa koreksi rasa', 'Buat isian goreng frozenfood cidea dan parut keju cheddar lalu coper frozenfood yang sudah digoreng tadi tambahkan sedikit air saat mencoper agar teksturnya halus tempatkan fishcake tadi pada mangkuk lalu masukan keju yang sudah di parut tambahkan sedikit garammicin lalu aduk', 'Pipihkan kentang yang sudah diolah tadi masukan cream isian tadi pada bagian tengah kentang lalu bentuk kentang sesuai selera (lebih baik ukuran sedang supaya lebih pas) larutkan tepung serbaguna pada air setengah gelas atau kira kira sedikit cair (tepung basah) balur akan kentang pada tepung basah, lalu balur akan tepung roti lakukan terus hingga adonan kentang habis goreng hingga kecokelatan matang']",Tidak ada,https://cookpad.com/id/resep/24675834-resep-kroket-fishcake-keju-cheddar-mudah-dan-praktik-bagi-pemula-dan-anak-kos-bisa-pake-frozenfood,"['kentang', 'tepung', 'keju']"
Bakso Kilat di Tengah Hujan Kilat ala Bocah Kos,https://img-global.cpcdn.com/recipes/5354d096c9855d51/1280x1280sq70/bakso-kilat-di-tengah-hujan-kilat-ala-bocah-kos-foto-resep-utama.jpg,Vel Ka,1 Orang,"[{'grup': 'Bahan Utama', 'jumlah': '1 Porsi', 'bahan': 'Bakso'}, {'grup': 'Bahan Utama', 'jumlah': '1 Buah', 'bahan': 'Wortel'}, {'grup': 'Bahan Utama', 'jumlah': '2 Buah', 'bahan': 'Tomat Hijau'}, {'grup': 'Bahan Utama', 'jumlah': '5 Siung', 'bahan': 'Bawang Putih'}, {'grup': 'Bahan Utama', 'jumlah': '1 Batang', 'bahan': 'Daun Bawang'}, {'grup': 'Bahan Utama', 'jumlah': '1 sdm', 'bahan': 'Kaldu Jamur'}, {'grup': 'Bahan Utama', 'jumlah': '1 sdt', 'bahan': 'Garam'}, {'grup': 'Bahan Utama', 'jumlah': '1 sdm', 'bahan': 'Margarin Butter'}, {'grup': 'Bahan Utama', 'jumlah': 'Secukupnya', 'bahan': 'Lada Putih'}, {'grup': 'Bahan Utama', 'jumlah': 'Secukupnya', 'bahan': 'Lada Hitam'}, {'grup': 'Bahan Utama', 'jumlah': 'Secukupnya', 'bahan': 'Bawang Goreng'}, {'grup': 'Bahan Utama', 'jumlah': '300 mL', 'bahan': 'Air Mineral'}]","['Iris halus bawang putih, bisa pakai chopper supaya cepat aku pakai 5 siung karena aku memang anaknya segarlic itu jangan lupa potongpotong wortelnya sesuai selera lah ya, juga potongpotong tomat hijau jadi 8 potong per buah', 'Potongpotong daun bawang besarbesar, supaya dimakannya kres kres seru', 'Tumis bawang putih di atas margarin yanag sudah dipanaskan masak hingga harum dan kecoklatan', 'Setelah dirasa cukup matang, tuang 300 ml air kemudian masukkan wortel lebih dahulu supaya bisa empuk masak sampai air mendidih', 'Setelah air mendidih, masukkan semua bahan yang ada mulai dari tomat, daun bawang dan kaldu serta garam koreksi rasa jika diperlukan', 'Setelah daun bawang sedikit layu (jangan kematengan), angkat dan sajikan di mangkuk taburi bawang goreng, nikmati selagi hangat']",15 Menit,https://cookpad.com/id/resep/24746324-bakso-kilat-di-tengah-hujan-kilat-ala-bocah-kos,"['bawang', 'potongpotong', 'daun']"
Donat Kentang Anak Kos,https://img-global.cpcdn.com/recipes/7f6760379f9aa9c2/1280x1280sq70/donat-kentang-anak-kos-foto-resep-utama.jpg,Alfie Lutfiah,3 Orang,"[{'grup': 'Bahan Utama', 'jumlah': '12 Buah', 'bahan': 'Kentang Ukuran Sedang'}, {'grup': 'Bahan Utama', 'jumlah': '14 sdm', 'bahan': 'Tepung Terigu'}, {'grup': 'Bahan Utama', 'jumlah': '3 sdm', 'bahan': 'Gula Pasir'}, {'grup': 'Bahan Utama', 'jumlah': '12 sdm', 'bahan': 'Ragi'}, {'grup': 'Bahan Utama', 'jumlah': '5 sdm', 'bahan': 'Air Hangat'}, {'grup': 'Bahan Utama', 'jumlah': '1', 'bahan': 'Kuning Telur'}, {'grup': 'Bahan Utama', 'jumlah': '1 sdm', 'bahan': 'Margarin'}, {'grup': 'Bahan Utama', 'jumlah': '1 Sachet', 'bahan': 'Kental Manis Putih'}]","['Rebus kentang, lalu haluskan menggunakan garpu', 'Siapkan ragi dan 1 sdm gula pasir, lalu campur dengan 5 sdm air hangat, tunggu sampai 10 menit (air ragi akan berbuih kalau raginya aktif)', 'Kocok kuning telur dan 2 sdm gula pasir sampai dirasa gula sudah larut dengan kuning telur tersebut', 'Masukkan 12 sdm tepung terigu ke dalam kocokan telur, lalu 1 sachet kental manis dan tambahkan sedikit garam, lalu aduk hingga rata', 'Setelahnya campur kentang yang sudah dihaluskan dan 1 sdm margarin ke bahan yang sudah tercampur, lalu aduk kembali sampai adonan tercampur', 'Setelah semua bahan tercampur, uleni adonan menggunakan tangan, jika dirasa adonan terlalu lengket, tambahkan 2 sdm tepung terigu (secukupnya) sampai adonan sudah tidak menempel di tangan, dan uleni hingga kalis, setelah adonan kalis, tutup adonan menggunakan plastikkain bersih, diamkan adonan hingga 45 menit', 'Setelah 45 menit, adonan akan mengembang jika ragi yang dipakai aktif, kempeskan adonan, lalu diuleni kembali dan dibagi menjadi 8 bagian kemudian bentuk sesuai selera dan diamkan 15 menit (untuk 8 bagian ini tidak harus, jadi sesuaikan dengan selera masingmasing untuk ukuran donatnya)', 'Setelah 15 menit, adonan akan mengembang, dan bisa digoreng untuk cara menggorengnya, panaskan minyak terlebih dahulu, jika dirasa minyak sudah panas, kecilkan api, dan baru masukkan donat yang ingin digoreng (ketika menggoreng harus ditunggu, dan jangan ditinggal karena akan cepat matangnya)', 'Setelah donatnya matang, bisa dikasih toping sesuai selera, dan di sini saya memakai gula halus, tapi ada juga yang dioles mentega dan ditabur meses (jika ingin pakai meses, pastikan donat sudah benerbener adem agar mentega tidak mencair ketika dioleskan)']",90 Menit,https://cookpad.com/id/resep/24676714-donat-kentang-anak-kos,"['adonan', 'sdm', 'gula']"
Teman anak kost,https://img-global.cpcdn.com/recipes/07e069de8955f4e6/1280x1280sq70/teman-anak-kost-foto-resep-utama.jpg,dinda el,2 Orang,"[{'grup': 'Bahan Utama', 'jumlah': '1 Buah', 'bahan': 'Tempe'}, {'grup': 'Bahan Utama', 'jumlah': '7 Buah', 'bahan': 'Ikan Asin'}, {'grup': 'Bahan Utama', 'jumlah': '2 Buah', 'bahan': 'Telur Ayam'}, {'grup': 'Bahan Utama', 'jumlah': '1 Bungkus', 'bahan': 'Daun Selada'}, {'grup': 'Bahan Utama', 'jumlah': '7 Siung', 'bahan': 'Cabai Rawit'}, {'grup': 'Bahan Utama', 'jumlah': '2 Siung', 'bahan': 'Bawang Putih'}]","['Potong potong tempe', 'Buat sambal bawang yang disiram minyak panas', 'Goreng telur yang sudah di aduk dan dibumbui', 'Goreng ikan asin', 'Cuci daun selada', 'Makanan siap disantap']",60 Menit,https://cookpad.com/id/resep/24603481-teman-anak-kost,"['teman', 'anak', 'kost']"
Rujak Menteng/Kepundung Manis Asam Asin ala Anak Kos,https://img-global.cpcdn.com/recipes/b7b28ddf5e45d1fa/1280x1280sq70/rujak-mentengkepundung-manis-asam-asin-ala-anak-kos-foto-resep-utama.jpg,Vel Ka,1 Orang,"[{'grup': 'Bahan Utama', 'jumlah': '10 Butir', 'bahan': 'Menteng kepundung'}, {'grup': 'Bahan Utama', 'jumlah': '2 Buah', 'bahan': 'Cabai Keriting'}, {'grup': 'Bahan Utama', 'jumlah': '1 Buah', 'bahan': 'Cabai Rawit Pedas'}, {'grup': 'Bahan Utama', 'jumlah': '1 Sendok Munjung', 'bahan': 'Gula Pasir'}, {'grup': 'Bahan Utama', 'jumlah': '1 Buah', 'bahan': 'Brown Sugar Stick'}, {'grup': 'Bahan Utama', 'jumlah': '', 'bahan': 'Garam'}]","['Ambil menteng dan pisahkan dari kulitnya sisihkan di mangkuk kecil', 'Uleg 3 buah cabai jangan terlalu halus supaya ada sensasi makan cabainya', 'Masukkan semua bahan, dari cabai, gula, garam ke dalam mangkuk berisi menteng adukaduk sampai air dari buah menteng keluar kemudian taruh di pendingin dan sajikan setelah bahan meresap']",5 Menit,https://cookpad.com/id/resep/24733601-rujak-mentengkepundung-manis-asam-asin-ala-anak-kos,"['menteng', 'mangkuk', 'buah']"
Resep cecek bumbu hijau mudah dan praktik bagi pemula dan anak kos,https://img-global.cpcdn.com/recipes/bde41a9400b645bd/1280x1280sq70/resep-cecek-bumbu-hijau-mudah-dan-praktik-bagi-pemula-dan-anak-kos-foto-resep-utama.jpg,Najwa Trizkiana,1 Orang,"[{'grup': 'Bahan Utama', 'jumlah': '1 Bungkus', 'bahan': 'Cecek'}, {'grup': 'Bahan Utama', 'jumlah': '10 Buah', 'bahan': 'Cabai Hijau Besar'}, {'grup': 'Bahan Utama', 'jumlah': '4 Siung', 'bahan': 'Bawang Putih'}, {'grup': 'Bahan Utama', 'jumlah': '2 sdt', 'bahan': 'Garam'}, {'grup': 'Bahan Utama', 'jumlah': '1 sdt', 'bahan': 'Micin'}]","['Potong cecek kecil kecil coper atau ulek kasar 10 buah cabai hijau dan 4 siung bawang putih tumis bumbu yang sudah di ulek kasar atau di coper tadi hingga harum beri air setengah gelas biasa aduk masukan cecek yang sudah di potong potong aduk, beri 2 sdt garam dan 1 sdt micin, aduk hingga rata dan harum lalu hidangkan']",Tidak ada,https://cookpad.com/id/resep/24598645-resep-cecek-bumbu-hijau-mudah-dan-praktik-bagi-pemula-dan-anak-kos,"['cecek', 'coper', 'kasar']"
Nasi Goreng Ala Anak Kost,https://img-global.cpcdn.com/recipes/696a3f1f3469c325/1280x1280sq70/nasi-goreng-ala-anak-kost-foto-resep-utama.jpg,Sinta Lestari,1 Orang,"[{'grup': 'Bahan Utama', 'jumlah': '2 Centong Nasi', 'bahan': 'Putih'}, {'grup': 'Bahan Utama', 'jumlah': '2 Siung', 'bahan': 'Bawang Merah'}, {'grup': 'Bahan Utama', 'jumlah': '2 Buah', 'bahan': 'Cabai Rawit'}, {'grup': 'Bahan Utama', 'jumlah': '1 Butir', 'bahan': 'Telur Ayam'}, {'grup': 'Bahan Utama', 'jumlah': '2 sdm', 'bahan': 'Kecap Manis'}, {'grup': 'Bahan Utama', 'jumlah': '2 sdm', 'bahan': 'Minyak Goreng'}, {'grup': 'Bahan Utama', 'jumlah': 'Secukupnya', 'bahan': 'Garam'}, {'grup': 'Bahan Utama', 'jumlah': 'Sejumput', 'bahan': 'Lada Bubuk'}, {'grup': 'Bahan Utama', 'jumlah': 'Sejumput', 'bahan': 'Penyedap Rasa'}]","['Siapkan nasi putih (kalau bisa yang agak pera) kupas kulit bawang merah, bersihkan dengan air mengalir bersama cabai rawit dan telur iris tipis bawang merah dan cabai rawit', 'Panaskan minyak goreng dalam wajan ceplok telur ayam masak telur ayam hingga matang', 'Angkat telur ceplok tumis bumbu (irisan bawang merah dan cabai rawit) hingga harum, dan agak kering', 'Masukan perlahan nasi putih ke dalam wajan berisi tumisan bumbu aduk hingga merata', 'Tambahkan garam, penyedap rasa, lada bubuk aduk perlahan, hingga merata', 'Tambahkan kecap manis aduk perlahan, hingga merata', 'Masak nasi goreng hingga matang jangan lupa koreksi rasa', 'Angkat, dan sajikan ke dalam piring bersama telur ceplok yang sudah dibuat tadi']",30 Menit,https://cookpad.com/id/resep/24714087-nasi-goreng-ala-anak-kost,"['telur', 'nasi', 'bawang']"
Manisan/Asinan Menteng/Kepundung Enak/Segar ala Anak Kos,https://img-global.cpcdn.com/recipes/5b61f049ba20b6a7/1280x1280sq70/manisanasinan-mentengkepundung-enaksegar-ala-anak-kos-foto-resep-utama.jpg,Vel Ka,1 Orang,"[{'grup': 'Bahan Utama', 'jumlah': '7 Butir', 'bahan': 'Menteng kepundung'}, {'grup': 'Bahan Utama', 'jumlah': '2 Buah', 'bahan': 'Cabai Merah Keriting'}, {'grup': 'Bahan Utama', 'jumlah': '1 Buah', 'bahan': 'Cabai Rawit'}, {'grup': 'Bahan Utama', 'jumlah': '2 Sendok Makan', 'bahan': 'Gula Pasir'}, {'grup': 'Bahan Utama', 'jumlah': '1 Buah', 'bahan': 'Brown Sugar Stick'}, {'grup': 'Bahan Utama', 'jumlah': 'Secukupnya', 'bahan': 'Garam Himalaya'}, {'grup': 'Bahan Utama', 'jumlah': '300 mL', 'bahan': 'Air Mineral'}]","['Kupas kulit menteng, buka buahnya, potongpotong kulit dalamnya', 'Siapkan buah apel potongpotong sesuai selera, buang biji dan bonggolnya', 'Rebus 300 ml air, masukkan semua bahan yang ada kecuali buahnya tunggu sampai air mendidih dan bau langu cabai hilang', 'Masukkan buah menteng dan potongan kulit dalamnya kemudian masukkan juga potongan apelnya masak selama 35 menit kemudian angkat dan dinginkan', 'Masukkan ke dalam pendingin sajikan dingindingin agar segar sejujurnya ini bisa kumakan dalam sekali waktu tapi karen aku suka banget, jadi disayangsayang makannya']",25 Menit,https://cookpad.com/id/resep/24733460-manisanasinan-mentengkepundung-enaksegar-ala-anak-kos,"['menteng', 'kulit', 'segar']"
Ikan Cué Kukus ala Anak Kost,https://img-global.cpcdn.com/recipes/2157379fe207a138/1280x1280sq70/ikan-cue-kukus-ala-anak-kost-foto-resep-utama.jpg,Sinta Lestari,2 Orang,"[{'grup': 'Bahan Utama', 'jumlah': '2 Ekor', 'bahan': 'Ikan Cue'}, {'grup': 'Bahan Utama', 'jumlah': '34 Siung', 'bahan': 'Bawang Merah'}, {'grup': 'Bahan Utama', 'jumlah': '2 Siung', 'bahan': 'Bawang Putih'}, {'grup': 'Bahan Utama', 'jumlah': '4 Buah', 'bahan': 'Cabai Rawit'}, {'grup': 'Bahan Utama', 'jumlah': '1', 'bahan': 'Buat Cabai Hijau'}, {'grup': 'Bahan Utama', 'jumlah': '12 Cm', 'bahan': 'Jahe'}, {'grup': 'Bahan Utama', 'jumlah': '1 Cm', 'bahan': 'Lengkoas'}, {'grup': 'Bahan Utama', 'jumlah': '1 Lembar', 'bahan': 'Sereh'}, {'grup': 'Bahan Utama', 'jumlah': '1 Lembar', 'bahan': 'Daun Bawang, Iris'}, {'grup': 'Bahan Utama', 'jumlah': '1 Buah', 'bahan': 'Tomat, Iris'}, {'grup': 'Bahan Utama', 'jumlah': 'Secukupnya', 'bahan': 'Penyedap Rasa Jamur Totole'}, {'grup': 'Bahan Utama', 'jumlah': 'Sejumput', 'bahan': 'Garam (disesuaikan)'}, {'grup': 'Bahan Utama', 'jumlah': '1 Buah', 'bahan': 'Jeruk Limau'}, {'grup': 'Bahan Utama', 'jumlah': '1 L', 'bahan': 'Air'}]","['Siapkan bahan yang digunakan', 'Buang duri ikan cué, belah menjadi 24 bagian gunakan bagian dagingnya saja untuk diolah bersihkan dengan air mengalir tambahkan perasan jeruk limau, untuk meminimalisir bau amis tiriskan', 'Kupas kulit bawang merah, bawang putih bersihkan dengan air mengalir bersama bumbu lainnya', 'Iris tipis bawang merah, bawang putih, cabai hijau potong tomat, daun bawang cabai rawit biarkan utuhan geprek dan ikat simpul sereh geprek lengkoas dan jahe', 'Siapkan bumbu iris ke piring masukan ikan cué tambahkan garam dan penyedap rasa aduk hingga tercampur rata (ikan cué jangan sampai hancur ya)', 'Siapkan alat kukusan mejicom alasi dengan aluminium foil (lebih bagus pakai daun pisang) masukan ikan cué yang sudah dicampur dengan bumbu iris, ke dalam alat kukusan tambahkan lengkoas, jahe dan sereh', 'Didihkan air sekitar 1 liter pasang kukusan yang sudah berisi ikan cué kukus hingga matang dengan mejicom (klik tombol cook, masak hingga 1520 menit) agar tomat tidak hancur kukus sekitar 15 menit saja', 'Setelah 1520 menit memasak, klik tombol warm, kemudian cabut kabel dari aliran listrik buka tutup mejicom, diamkan dahulu sebentar agar uap panas keluar angkat dan sajikan ikan cué kukus nya ke dalam piring', 'Ikan cué kukus ala anak indekos siap disantap bersama nasi hangat']",50 Menit,https://cookpad.com/id/resep/24695263-ikan-cue-kukus-ala-anak-kost,"['ikan', 'cué', 'kukus']"
Sambal/sambel cabe ijo anak kos (hanya dua bahan),https://img-global.cpcdn.com/recipes/557c821d2428423e/1280x1280sq70/sambalsambel-cabe-ijo-anak-kos-hanya-dua-bahan-foto-resep-utama.jpg,Nyamnyam 🪵🦫,1 Orang,"[{'grup': 'Bahan Utama', 'jumlah': 'Segenggam', 'bahan': 'Cabai Rawit'}, {'grup': 'Bahan Utama', 'jumlah': '3 Siung', 'bahan': 'Bawang Putih'}, {'grup': 'Bahan Utama', 'jumlah': '67 sdm', 'bahan': 'Minyak Untuk Menyiram'}, {'grup': 'Bahan Utama', 'jumlah': 'Secukupnya', 'bahan': 'Garam'}, {'grup': 'Bahan Utama', 'jumlah': 'Secukupnya', 'bahan': 'Kaldu Jamur'}]","['Iris bawang putih, goreng hingga sedikit kecokelatan, angkat', 'Masukkan cabai rawit dan bawang putih yang telah digoreng, chopper kasar', 'Letakkan di piring tahan panas, tambahkan dengan garam dan kaldu jamur sesuai selera', 'Panaskan minyak goreng lalu siram ke atas cabai', 'Aduk rata sambal sudah jadi masukkan ke wadah kedap udara dan masukkan ke kulkas supaya bertahan lebih lama']",10 Menit,https://cookpad.com/id/resep/24673815-sambalsambel-cabe-ijo-anak-kos-hanya-dua-bahan,"['sambal', 'bawang', 'cabai']"
